remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:05:35 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,P4:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P4:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,P3:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P3:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO2:1:C,"","AB:1734_IE4:C:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO2:1:I,"","AB:1734_IE4:I:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO2:I,"","PS:1734_2SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO2:O,"","PS:1734_2SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,P5:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P5:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,RIO2:0:C,"","AB:1794_IB32:C:0","","(ExternalAccess := Read/Write)"
TAG,,RIO2:0:I,"","AB:1794_IB32:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO2:1:C,"","AB:1794_DO16:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RIO2:1:O,"","","RIO2:O.Data[1]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RIO2:2:C,"","AB:1794_IE12:C:0","","(ExternalAccess := Read/Write)"
TAG,,RIO2:2:I,"","AB:1794_IE12:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO2:2:O,"","AB:1794_IE12:O:0","","(ExternalAccess := Read/Write)"
TAG,,RIO2:I,"","AB:1794_AEN_8SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO2:O,"","AB:1794_AEN_8SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,AIT201_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,AIT202_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,AIT203_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_201_COND,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_201_COND_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_202_PH,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_202_PH_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_203_ORP,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_AIT_203_ORP_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_FIT_201_FLOW,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_FIT_201_FLOW_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_03,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_03_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_04,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_04_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_05,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_05_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_06,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_06_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_07,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_07_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_08,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO2_SPARE_08_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
